Const,Your Rating,Date Rated,Title,Title Type,Runtime,Year
tt1010048,8,2019-08-13,Slumdog Millionaire,movie,120,2008
tt0101414,8,2019-05-09,Beauty and the Beast,movie,84,1991
tt1028532,8,2018-01-07,Hachi: A Dog's Tale,movie,93,2009
tt0103064,8,2017-03-17,Terminator 2: Judgment Day,movie,137,1991
tt0105236,8,2019-05-09,Reservoir Dogs,movie,99,1992
tt0105695,8,2020-01-07,Unforgiven,movie,130,1992
tt0107207,8,2018-01-13,In the Name of the Father,movie,133,1993
tt0110357,8,2018-03-18,The Lion King,movie,88,1994
tt11213372,8,2021-01-19,Azizler,movie,96,2021
tt0113277,8,2020-01-06,Heat,movie,170,1995
tt0114746,8,2017-03-31,Twelve Monkeys,movie,129,1995
tt0114814,8,2018-12-08,The Usual Suspects,movie,106,1995
tt1170358,8,2019-10-16,The Hobbit: The Desolation of Smaug,movie,161,2013
tt0119217,8,2017-04-08,Good Will Hunting,movie,126,1997
tt1201607,8,2019-05-09,Harry Potter and the Deathly Hallows: Part 2,movie,130,2011
tt0120265,8,2018-02-21,Ta'm e guilass,movie,95,1997
tt0120363,8,2019-08-13,Toy Story 2,movie,92,1999
tt0121766,8,2019-11-28,Star Wars: Episode III - Revenge of the Sith,movie,140,2005
tt0126029,8,2019-08-13,Shrek,movie,90,2001
tt1286126,8,2019-08-13,A.R.O.G,movie,127,2008
tt1291584,8,2018-10-10,Warrior,movie,140,2011
tt1302006,8,2019-12-01,The Irishman,movie,209,2019
tt0133093,8,2018-12-08,The Matrix,movie,136,1999
tt1504320,8,2019-08-13,The King's Speech,movie,118,2010
tt1567448,8,2019-08-13,Yahsi Bati,movie,112,2009
tt1667889,8,2019-10-15,Ice Age: Continental Drift,movie,88,2012
tt1668191,8,2019-08-13,Av Mevsimi,movie,140,2010
tt1979320,8,2019-05-09,Rush,movie,123,2013
tt2082197,8,2019-10-16,Barfi!,movie,151,2012
tt0021749,8,2019-05-09,City Lights,movie,87,1931
tt2245084,8,2019-08-13,Big Hero 6,movie,102,2014
tt2267998,8,2018-06-26,Gone Girl,movie,149,2014
tt2278388,8,2017-04-16,The Grand Budapest Hotel,movie,99,2014
tt2306299,8,2019-08-13,Vikings,tvSeries,44,2013
tt2310332,8,2019-11-28,The Hobbit: The Battle of the Five Armies,movie,144,2014
tt0253474,8,2016-05-07,The Pianist,movie,150,2002
tt2543164,8,2019-08-13,Arrival,movie,116,2016
tt0268380,8,2019-08-13,Ice Age,movie,81,2002
tt2758880,8,2020-02-16,Kis Uykusu,movie,196,2014
tt0027977,8,2019-05-09,Modern Times,movie,87,1936
tt2980516,8,2019-08-13,The Theory of Everything,movie,123,2014
tt0298148,8,2019-08-13,Shrek 2,movie,93,2004
tt0317705,8,2019-08-13,The Incredibles,movie,115,2004
tt0032553,8,2019-05-09,The Great Dictator,movie,125,1940
tt3521164,8,2019-08-13,Moana,movie,107,2016
tt0036775,8,2019-05-09,Double Indemnity,movie,107,1944
tt3748528,8,2019-12-28,Rogue One,movie,133,2016
tt0382932,8,2019-08-13,Ratatouille,movie,111,2007
tt0395169,8,2019-05-09,Hotel Rwanda,movie,121,2004
tt4016934,8,2020-03-07,Ah-ga-ssi,movie,145,2016
tt0405159,8,2020-01-06,Million Dollar Baby,movie,132,2004
tt0405508,8,2018-02-23,Rang De Basanti,movie,167,2006
tt0421357,8,2019-08-13,Hagane no renkinjutsushi,tvSeries,24,2003
tt0424227,8,2020-04-09,Lakposhtha parvaz mikonand,movie,98,2004
tt0042876,8,2019-05-09,Rashômon,movie,88,1950
tt4430212,8,2019-12-28,Drishyam,movie,163,2015
tt0454921,8,2017-03-04,The Pursuit of Happyness,movie,117,2006
tt0457430,8,2019-05-09,El laberinto del fauno,movie,118,2006
tt0469494,8,2020-04-07,There Will Be Blood,movie,158,2007
tt4729430,8,2020-01-01,Klaus,movie,96,2019
tt5013056,8,2019-10-16,Dunkirk,movie,106,2017
tt0050986,8,2020-01-10,Smultronstället,movie,91,1957
tt5229228,8,2019-10-16,Iftarlik Gazoz,movie,115,2016
tt0052618,8,2019-05-09,Ben-Hur,movie,212,1959
tt0058461,8,2019-08-13,Per un pugno di dollari,movie,99,1964
tt0060196,8,2018-12-08,"Il buono, il brutto, il cattivo",movie,161,1966
tt0066921,8,2019-05-09,A Clockwork Orange,movie,136,1971
tt0067992,8,2019-08-13,Willy Wonka & the Chocolate Factory,movie,100,1971
tt0070735,8,2019-05-09,The Sting,movie,129,1973
tt7137906,8,2019-08-13,When They See Us,tvMiniSeries,296,2019
tt0758758,8,2019-05-09,Into the Wild,movie,148,2007
tt0078748,8,2019-05-09,Alien,movie,117,1979
tt0080678,8,2019-05-09,The Elephant Man,movie,124,1980
tt8108198,8,2020-02-16,Andhadhun,movie,139,2018
tt8267604,8,2020-03-20,Capharnaüm,movie,126,2018
tt0082971,8,2019-05-09,Raiders of the Lost Ark,movie,115,1981
tt0083987,8,2017-12-09,Gandhi,movie,191,1982
tt0087843,8,2019-05-09,Once Upon a Time in America,movie,229,1984
tt0088247,8,2017-03-17,The Terminator,movie,107,1984
tt0093058,8,2017-04-09,Full Metal Jacket,movie,116,1987
tt0944947,8,2019-05-23,Game of Thrones,tvSeries,57,2011
tt0097165,8,2019-05-09,Dead Poets Society,movie,128,1989
tt0099685,8,2018-12-08,Goodfellas,movie,146,1990
tt1049413,9,2019-05-09,Up,movie,96,2009
tt0107290,9,2019-05-09,Jurassic Park,movie,127,1993
tt0109830,9,2018-12-08,Forrest Gump,movie,142,1994
tt11301642,9,2021-01-19,Bir Baskadir,tvSeries,49,2020
tt0114369,9,2018-12-08,Se7en,movie,127,1995
tt0116231,9,2017-12-18,Eskiya,movie,128,1996
tt0116282,9,2019-11-28,Fargo,movie,98,1996
tt1187043,9,2019-05-09,3 Idiots,movie,170,2009
tt0120382,9,2016-05-07,The Truman Show,movie,103,1998
tt1205489,9,2020-01-04,Gran Torino,movie,116,2008
tt0120735,9,2020-01-08,"Lock, Stock and Two Smoking Barrels",movie,107,1998
tt0120815,9,2016-05-07,Saving Private Ryan,movie,169,1998
tt0012349,9,2019-05-09,The Kid,movie,68,1921
tt1255953,9,2020-04-01,Incendies,movie,131,2010
tt1345836,9,2019-05-09,The Dark Knight Rises,movie,164,2012
tt1355642,9,2018-12-08,Hagane no renkinjutsushi,tvSeries,24,2009
tt1360860,9,2019-08-13,Darbareye Elly,movie,119,2009
tt0137523,9,2016-05-07,Fight Club,movie,139,1999
tt1375666,9,2016-05-07,Inception,movie,148,2010
tt1454468,9,2019-08-13,Gravity,movie,91,2013
tt0167404,9,2019-05-09,The Sixth Sense,movie,107,1999
tt0169102,9,2017-05-20,Lagaan: Once Upon a Time in India,movie,224,2001
tt0172495,9,2018-12-08,Gladiator,movie,155,2000
tt1853728,9,2019-05-09,Django Unchained,movie,165,2012
tt0191043,9,2019-08-13,Rang-e khoda,movie,90,1999
tt0209144,9,2018-12-08,Memento,movie,113,2000
tt2150209,9,2019-08-13,Dedemin Insanlari,movie,126,2011
tt2338151,9,2019-11-28,PK,movie,153,2014
tt2380307,9,2018-01-08,Coco,movie,105,2017
tt0245712,9,2018-02-18,Amores perros,movie,154,2000
tt2560140,9,2017-02-19,Shingeki no kyojin,tvSeries,24,2013
tt2592910,9,2019-08-13,CM101MMXI Fundamentals,movie,139,2013
tt0263438,9,2019-08-13,Her Sey Çok Güzel Olacak,movie,107,1998
tt0264464,9,2019-05-09,Catch Me If You Can,movie,141,2002
tt2861424,9,2018-12-08,Rick and Morty,tvSeries,23,2013
tt2991224,9,2018-10-10,Mandariinid,movie,87,2013
tt3032476,9,2019-08-13,Better Call Saul,tvSeries,46,2015
tt3170832,9,2017-04-14,Room,movie,118,2015
tt0317248,9,2016-05-07,Cidade de Deus,movie,130,2002
tt0032551,9,2018-03-18,The Grapes of Wrath,movie,129,1940
tt0353969,9,2020-03-31,Salinui chueok,movie,131,2003
tt0364569,9,2019-05-09,Oldeuboi,movie,120,2003
tt3659388,9,2016-05-07,The Martian,movie,144,2015
tt0384116,9,2019-08-13,G.O.R.A.,movie,127,2004
tt0040522,9,2019-05-09,Ladri di biciclette,movie,89,1948
tt0407887,9,2018-12-08,The Departed,movie,151,2006
tt0416960,9,2019-10-18,Marmoulak,movie,115,2004
tt0435761,9,2019-05-09,Toy Story 3,movie,103,2010
tt4508902,9,2019-08-13,One Punch Man: Wanpanman,tvSeries,24,2015
tt0454876,9,2019-08-13,Life of Pi,movie,127,2012
tt0455275,9,2017-02-19,Prison Break,tvSeries,44,2005
tt0468569,9,2016-05-07,The Dark Knight,movie,152,2008
tt0482571,9,2017-03-17,The Prestige,movie,130,2006
tt4857264,9,2020-11-15,Contratiempo,movie,106,2016
tt0499549,9,2019-08-13,Avatar,movie,162,2009
